OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
denovo7044	170.924844897	7.65846127041e-38	1.61924709509e-35	1.19824285037e-33	0.0524109014675	1.36956521739	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
denovo9411	170.397134204	9.97085593861e-38	2.08005349354e-35	1.56004012015e-33	0.0293501048218	1.4347826087	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
denovo9950	170.064946102	1.17724314796e-37	2.42357188066e-35	1.8419146293e-33	1.31446540881	25.2391304348	0.047619047619	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
denovo21067	169.348893993	1.68404972702e-37	3.42190156221e-35	2.6348642029e-33	0.0062893081761	0.0	0.833333333333	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
denovo15767	168.69238091	2.33837907357e-37	4.69054858783e-35	3.65862789851e-33	0.0104821802935	0.0	1.04761904762	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
denovo19878	165.380361189	1.22492884089e-36	2.42597932211e-34	1.91652366446e-32	0.0	0.0	0.547619047619	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
denovo3898	165.15016703	1.37434854421e-36	2.68788216534e-34	2.15030573227e-32	0.0020964360587	0.0	0.5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
denovo13349	164.778458818	1.65505450021e-36	3.19691144571e-34	2.58949827103e-32	0.0146750524109	0.0	4.02380952381	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
denovo10928	164.269494933	2.13467813985e-36	4.07307002148e-34	3.33991741761e-32	0.0314465408805	2.04347826087	0.0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__
denovo15331	163.821401557	2.67075864621e-36	5.03454093717e-34	4.17866897785e-32	1.40041928721	64.1956521739	0.666666666667	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
denovo13972	163.730900121	2.79438846691e-36	5.20488118491e-34	4.37210019532e-32	0.0272536687631	0.0	0.880952380952	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
denovo15584	163.372203863	3.34331027458e-36	6.15405088895e-34	5.23094325561e-32	0.0083857442348	0.5	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Catonella;s__
denovo7371	162.117029996	6.26230513614e-36	1.13930262977e-33	9.798002616e-32	0.125786163522	2.54347826087	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__nanceiensis
denovo17707	161.219838573	9.8074672631e-36	1.76376589424e-33	1.53447632799e-31	0.243186582809	3.41304347826	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
denovo15524	160.885649201	1.15911137332e-35	2.06084733488e-33	1.81354565469e-31	0.0083857442348	0.0	4.09523809524	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__;s__
denovo15312	160.297060088	1.55573516832e-35	2.73494746557e-33	2.43410324436e-31	1.88679245283	37.3695652174	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa
denovo13512	159.955102555	1.84582619073e-35	3.20886628669e-33	2.88797965802e-31	0.0188679245283	0.0	3.19047619048	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__
denovo3715	159.514085777	2.30121067818e-35	3.95656508471e-33	3.60047422708e-31	0.0377358490566	0.0	1.5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus
denovo5064	158.692255875	3.47067922677e-35	5.90241817196e-33	5.43022471821e-31	0.207547169811	3.10869565217	0.047619047619	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
denovo998	157.541524215	6.17010680117e-35	1.03803753775e-32	9.65374910111e-31	2.49266247379	70.2173913043	0.880952380952	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
denovo20782	156.768464356	9.08156084147e-35	1.51159681836e-32	1.42090100926e-30	0.186582809224	0.0217391304348	1.66666666667	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__
denovo5401	152.895399406	6.29775649828e-34	1.03720734918e-31	9.85346981721e-30	0.668763102725	58.8695652174	0.0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
denovo841	152.440504992	7.9061478492e-34	1.26316195694e-31	1.23699589249e-29	0.0020964360587	0.0	3.95238095238	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__;s__
denovo2678	152.382640856	8.13823017836e-34	1.26316195694e-31	1.27330749371e-29	0.0	0.0	0.47619047619	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
